JEE Main 2022 Score,JEE Main 2022 Percentile,,JEE Main 2022 Percentile,JEE 2022 Main Rank
300 - 281,100 - 99.99989145,,100 - 99.99989145,01/01/2020
271 - 280,99.994681 - 99.997394,,99.994681 - 99.997394,80 - 24
263 - 270,99.990990 - 99.994029,,99.990990 - 99.994029,83 - 55
250 - 262,99.977205 - 99.988819,,99.977205 - 99.988819,210 - 85
241 - 250,99.960163 - 99.975034,,99.960163 - 99.975034,367 - 215
231 - 240,99.934980 - 99.956364,,99.934980 - 99.956364,599 - 375
221 - 230,99.901113 - 99.928901,,99.901113 - 99.928901,911 - 610
211 - 220,99.851616 - 99.893732,,99.851616 - 99.893732,1367 - 920
201 - 210,99.795063 - 99.845212,,99.795063 - 99.845212,1888 - 1375
191 - 200,99.710831 - 99.782472,,99.710831 - 99.782472,2664 - 1900
181 - 190,99.597399 - 99.688579,,99.597399 - 99.688579,3710 - 2700
171 - 180,99.456939 - 99.573193,,99.456939 - 99.573193,5003- 3800
161 - 170,99.272084 - 99.431214,,99.272084 - 99.431214,6706 - 5100
151 - 160,99.028614 - 99.239737,,99.028614 - 99.239737,8949 - 6800
141 - 150,98.732389 - 98.990296,,98.732389 - 98.990296,11678 - 9000
131 - 140,98.317414 - 98.666935,,98.317414 - 98.666935,15501 - 11800
121 - 130,97.811260 - 98.254132,,97.811260 - 98.254132,20164 - 15700
111 - 120,97.142937 - 97.685672,,97.142937 - 97.685672,26321 - 20500
101 - 110,96.204550 - 96.978272,,96.204550 - 96.978272,34966 - 26500
91 - 100,94.998594 - 96.064850,,94.998594 - 96.064850,46076 - 35000
81 - 90,93.471231 - 94.749479,,93.471231 - 94.749479,60147 - 46500
71 - 80,91.072128 - 93.152971,,91.072128 - 93.152971,82249 - 61000
61 - 70,87.512225 - 90.702200,,87.512225 - 90.702200,115045 - 83000
51 - 60,82.016062 - 86.907944,,82.016062 - 86.907944,165679 - 117000
41 - 50,73.287808 - 80.982153,,73.287808 - 80.982153,246089 - 166000
31 - 40,58.151490 - 71.302052,,58.151490 - 71.302052,385534 - 264383
21 - 30,37.694529 - 56.569310,,,
11/20/2024,13.495849 - 33.229128,,,
0 - 10,0.8435177 - 9.6954066,,,
